epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,32.0695,1.17563,7.57162,0.02521,0.00605,0.88889,0.04765,0.03359,0.6834,5.59641,0.01749,0.00010003,0.00010003,0.00010003
2,33.3898,0.94678,7.21783,0.02037,0.00448,1,0.26027,0.17396,0.30942,5.43526,0.00855,0.000210106,0.000210106,0.000210106
3,35.4574,0.87371,6.03897,0.01553,0.00388,1,0.37623,0.27959,0.47871,5.50548,0.01286,0.000315655,0.000315655,0.000315655
4,36.5927,0.80589,6.11091,0.01564,0.00349,1,0.48707,0.36258,0.44936,5.4826,0.01154,0.000416676,0.000416676,0.000416676
5,37.7102,0.76607,5.98221,0.01295,0.00329,0.97222,0.48583,0.42922,0.59253,5.52127,0.01734,0.000513171,0.000513171,0.000513171
6,38.7644,0.80214,6.04598,0.01531,0.00344,1,0.49191,0.40878,0.46692,5.31867,0.0133,0.000605139,0.000605139,0.000605139
7,39.8318,0.8048,5.77991,0.01723,0.00344,1,0.47637,0.43052,0.42141,5.06816,0.01102,0.000692579,0.000692579,0.000692579
8,40.8759,0.83148,5.8704,0.01665,0.00341,1,0.52842,0.46504,0.52978,5.02827,0.01342,0.000775493,0.000775493,0.000775493
9,41.9397,0.85147,5.88962,0.0189,0.00348,1,0.549,0.49927,0.42703,4.76687,0.01115,0.000853879,0.000853879,0.000853879
10,42.9974,0.91327,5.89042,0.01855,0.63419,0.29275,0.61914,0.548,0.5317,4.67814,0.01504,0.000927738,0.000927738,0.000927738
11,44.062,0.88618,5.15865,0.01811,0.66356,0.26271,0.64549,0.54336,0.711,4.64731,0.01971,0.00099707,0.00099707,0.00099707
12,45.1024,0.81058,5.08954,0.0179,0.80995,0.22983,0.62257,0.53451,0.67683,4.54654,0.01783,0.00106188,0.00106188,0.00106188
13,46.1355,0.88949,5.25541,0.01954,0.68335,0.42593,0.70888,0.61433,0.62724,4.30172,0.0166,0.00108947,0.00108947,0.00108947
14,47.1649,0.86967,5.11266,0.01896,0.65404,0.67514,0.76577,0.6547,0.66629,4.07111,0.01832,0.00106118,0.00106118,0.00106118
15,48.1913,0.92518,5.06424,0.01842,0.74911,0.6391,0.80386,0.71317,0.57367,3.98586,0.01543,0.00103288,0.00103288,0.00103288
16,49.2238,0.80144,4.83895,0.01477,0.73715,0.63144,0.81312,0.73174,0.54631,3.96182,0.01544,0.00100459,0.00100459,0.00100459
17,50.2542,0.8503,4.65735,0.01773,0.73354,0.53722,0.7896,0.72108,0.56311,4.0273,0.01591,0.000976293,0.000976293,0.000976293
18,51.3119,0.82617,4.20454,0.0173,0.73365,0.65426,0.80682,0.72889,0.51943,3.98261,0.01393,0.000947999,0.000947999,0.000947999
19,52.4793,0.87736,4.75016,0.018,0.66862,0.6613,0.82112,0.73313,0.52246,3.68394,0.01398,0.000919704,0.000919704,0.000919704
20,53.5505,0.84192,4.00943,0.0154,0.69149,0.78247,0.86717,0.79424,0.4832,3.36923,0.01274,0.00089141,0.00089141,0.00089141
21,54.6448,0.83556,4.06854,0.01675,0.89493,0.82501,0.90788,0.81942,0.51952,3.30579,0.01354,0.000863116,0.000863116,0.000863116
22,55.7792,0.74902,3.90724,0.01449,0.84315,0.791,0.92037,0.83629,0.49607,3.26039,0.01322,0.000834822,0.000834822,0.000834822
23,56.9755,0.86958,4.22413,0.01685,0.87714,0.8379,0.92512,0.83771,0.55584,3.20912,0.01519,0.000806528,0.000806528,0.000806528
24,58.0038,0.64261,4.1309,0.01294,0.66459,0.90741,0.8769,0.75682,0.67892,3.19351,0.01913,0.000778233,0.000778233,0.000778233
25,59.017,0.85995,4.04493,0.01808,0.77571,0.87963,0.87942,0.77655,0.60616,3.17106,0.01669,0.000749939,0.000749939,0.000749939
26,60.0446,0.75596,3.63043,0.01451,0.79694,0.86471,0.88382,0.80715,0.53206,3.13258,0.01443,0.000721645,0.000721645,0.000721645
27,61.0933,0.73286,3.91822,0.01436,0.76016,0.89186,0.87425,0.76985,0.60283,3.11628,0.0171,0.000693351,0.000693351,0.000693351
28,62.2463,0.81656,3.99422,0.01834,0.77248,0.91774,0.92206,0.79996,0.69352,3.05792,0.02032,0.000665057,0.000665057,0.000665057
29,63.3264,0.81493,3.62796,0.01635,0.8039,0.89151,0.95918,0.83808,0.70642,2.93432,0.02103,0.000636762,0.000636762,0.000636762
30,64.4831,0.82341,3.42231,0.01474,0.94225,0.75316,0.95048,0.82923,0.6898,2.86922,0.02071,0.000608468,0.000608468,0.000608468
31,65.6191,0.79124,3.44975,0.01675,0.8493,0.77463,0.92311,0.81335,0.60019,2.85664,0.01772,0.000580174,0.000580174,0.000580174
32,66.684,0.7927,4.1285,0.01656,0.66752,0.87589,0.91469,0.82454,0.52171,2.81975,0.0151,0.00055188,0.00055188,0.00055188
33,67.7761,0.74017,3.12844,0.01425,0.83754,0.77799,0.93991,0.8662,0.50079,2.80164,0.0143,0.000523586,0.000523586,0.000523586
34,68.8589,0.75097,3.23845,0.01442,0.7854,0.87498,0.93577,0.84075,0.58084,2.74824,0.01639,0.000495291,0.000495291,0.000495291
35,69.8994,0.93464,3.86541,0.01957,0.8751,0.79349,0.94427,0.84127,0.57871,2.65692,0.01626,0.000466997,0.000466997,0.000466997
36,70.924,0.71858,3.20199,0.01344,0.87355,0.80995,0.93597,0.84048,0.53831,2.57775,0.01527,0.000438703,0.000438703,0.000438703
37,71.9656,0.73572,3.5611,0.01483,0.74898,0.94181,0.94432,0.85662,0.49251,2.52427,0.01403,0.000410409,0.000410409,0.000410409
38,73.022,0.71394,3.08121,0.01359,0.75759,0.95528,0.94571,0.8612,0.48841,2.50365,0.01382,0.000382115,0.000382115,0.000382115
39,74.2031,0.82278,3.02182,0.01561,0.88193,0.80305,0.94628,0.86467,0.51331,2.51,0.01436,0.00035382,0.00035382,0.00035382
40,75.2304,0.7729,3.44885,0.01579,0.92155,0.81444,0.94794,0.86786,0.50103,2.49795,0.01384,0.000325526,0.000325526,0.000325526
41,81.776,0.53028,5.25682,0.01674,0.88461,0.82407,0.95167,0.87289,0.49273,2.47854,0.01352,0.000297232,0.000297232,0.000297232
42,82.8333,0.51208,5.18818,0.01499,0.93245,0.85185,0.9535,0.86602,0.49983,2.47644,0.01389,0.000268938,0.000268938,0.000268938
43,83.9003,0.47649,5.09321,0.01376,0.93899,0.84946,0.94898,0.86047,0.51349,2.51292,0.0145,0.000240644,0.000240644,0.000240644
